类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
益智类,1095,"44,308,397","40,464",1,0,0,3,55,231,722,83
动作类,630,"44,226,371","70,201",0,2,1,2,39,229,331,26
棋类,118,"20,213,355","171,300",0,1,1,2,14,43,56,1
竞猜与字谜,128,"31,420,878","245,476",0,3,1,2,13,33,67,9
模拟类,154,"24,359,594","158,179",0,1,1,3,36,53,57,3
运动类,304,"45,404,521","149,357",0,3,1,6,38,137,114,5
牌类,77,"10,008,544","129,981",0,0,1,1,8,21,44,2
多人在线战术竞技,6,"8,134,000","1,355,667",0,0,2,1,1,2,0,0
消消乐,107,"5,851,258","54,685",0,0,0,2,5,24,71,5
跑酷,276,"10,777,692","39,050",0,0,0,2,16,79,169,10
策略,75,"4,549,826","60,664",0,0,0,1,8,26,37,3
角色扮演,77,"4,003,829","51,998",0,0,0,0,6,36,34,1
卡牌对战,9,"779,159","86,573",0,0,0,0,1,5,3,0
老虎机,34,"1,061,767","31,228",0,0,0,0,2,5,26,1
扑克与桌游,31,"1,507,006","48,613",0,0,0,0,4,12,15,0
宾果,10,"595,218","59,522",0,0,0,0,1,6,3,0
建筑类,15,"581,112","38,741",0,0,0,0,1,11,3,0
其他,4,"15,243","3,811",0,0,0,0,0,1,1,2
街机类,1,"9,588","9,588",0,0,0,0,0,0,1,0
总计,3151,"257,807,358","81,818",1,10,8,25,248,954,1754,151
