类型,1000w,500w,200w,100w,10w,1w,1k,0k,游戏总数,玩家总数
益智类,1,0,1,2,52,222,752,193,1223,41770651
模拟类,0,1,1,5,29,85,69,4,194,30530664
棋类,0,1,1,1,14,47,70,3,137,19787334
动作类,0,2,0,5,54,212,389,73,735,44906057
竞猜与字谜,0,3,1,2,17,29,81,10,143,33289383
运动类,0,2,2,5,43,116,145,6,319,41470857
牌类,0,0,1,2,11,18,47,0,79,9696799
跑酷,0,0,1,2,15,71,196,20,305,12438264
消消乐,0,0,1,1,3,39,75,12,131,4994210
角色扮演,0,0,0,2,8,27,35,1,73,6131286
多人在线战术竞技,0,0,0,1,1,1,1,0,4,1534320
策略,0,0,0,1,7,23,46,5,82,4042019
卡牌对战,0,0,0,0,1,1,5,0,7,608307
老虎机,0,0,0,0,2,8,24,4,38,900101
宾果,0,0,0,0,2,7,3,0,12,927226
其他,0,0,0,0,1,1,3,1,6,454414
建筑类,0,0,0,0,1,12,5,0,18,780949
扑克与桌游,0,0,0,0,7,7,20,0,34,1713634
街机类,0,0,0,0,0,1,0,0,1,11000
