类型,游戏款数,MAU,款均MAU,1000w,500w,200w,100w,10w,1w,1k,0k
总计,3737,"329,757,239","88,241",2,10,14,27,241,1356,2065,22
竞猜与字谜,149,"98,127,997","658,577",1,3,3,2,16,40,83,1
益智类,1279,"45,800,778","35,810",0,1,2,3,48,314,903,8
运动类,334,"44,216,723","132,385",0,3,2,3,42,184,100,0
动作类,776,"43,126,686","55,576",0,2,0,4,46,331,387,6
模拟类,214,"26,573,488","124,175",0,1,1,4,32,114,60,2
棋类,148,"22,503,100","152,048",1,0,1,2,14,58,72,0
牌类,82,"10,886,918","132,767",0,0,1,3,7,23,47,1
跑酷,307,"9,679,411","31,529",0,0,1,1,8,124,172,1
多人在线战术竞技,18,"8,298,796","461,044",0,0,1,2,3,2,10,0
角色扮演,81,"6,606,647","81,564",0,0,1,1,6,45,27,1
消消乐,135,"5,308,214","39,320",0,0,1,1,3,37,93,0
策略,92,"3,976,603","43,224",0,0,0,1,7,35,48,1
扑克与桌游,35,"1,402,371","40,068",0,0,0,0,3,11,21,0
老虎机,40,"1,242,467","31,062",0,0,0,0,3,12,25,0
建筑类,20,"803,858","40,193",0,0,0,0,1,15,4,0
卡牌对战,9,"585,931","65,103",0,0,0,0,1,2,6,0
宾果,12,"539,127","44,927",0,0,0,0,1,7,4,0
街机类,1,"41,000","41,000",0,0,0,0,0,1,0,0
其他,5,"37,124","7,425",0,0,0,0,0,1,3,1
