id,game_name,developer_name,player_count,app_center_categories,rank,lastRank,delRank
4.55676E+14,OMG,Supergene,"11,750,000",竞猜与字谜,1,714,713
1.98982E+14,Jumpy Jumpy - Helix Ball,TimPlay,"9,910,000",益智类,2,1,-1
1.07261E+15,Ludo Club,Moonfrog Labs,"9,620,000",棋类,3,3,0
2.12387E+15,Big Fish,bianfeng,"8,460,000",模拟类,4,2,-2
1.25074E+15,Last Knife,Room502,"7,780,000",动作类,5,4,-1
6.66273E+14,The Test,Lotum one GmbH,"7,250,000",竞猜与字谜,6,5,-1
1.41185E+14,EverWing,Game Closure,"6,610,000",动作类,7,6,-1
1.82994E+15,8 Ball Pool,Miniclip,"5,970,000",运动类,8,8,0
4.98626E+14,4 Pics 1 Word,LOTUM GmbH,"5,930,000",竞猜与字谜,9,7,-2
3.83042E+14,Words With Friends,Zynga,"5,480,000",竞猜与字谜,10,9,-1
8.00773E+14,Basketball FRVR,FRVR,"5,110,000",运动类,11,10,-1
2.67921E+14,Golden Boot,Nordeus,"5,010,000",运动类,12,11,-1
1.93902E+15,UNO,Mattel163,"4,290,000",牌类,13,12,-1
8.43754E+14,Quiz Planet,Lotum one GmbH,"3,580,000",竞猜与字谜,14,13,-1
1.19225E+15,Chess,"Vizor Interactive, LLP","3,460,000",棋类,15,14,-1
1.76615E+15,Snake Mania,SZ IYouLong,"3,340,000",跑酷,16,15,-1
1.98339E+15,Let's Farm-Idle Tycoon,diandian,"2,340,000",模拟类,17,16,-1
2.2365E+15,Archery 3D,Seastar Games,"2,310,000",运动类,18,17,-1
1.77462E+14,Connect the Dots!,Lotum one GmbH,"2,220,000",益智类,19,19,0
1.92086E+15,Cookie Crush,SOFTGAMES,"2,180,000",消消乐,20,18,-2
1.40826E+15,超级保龄球,Super Appli,"2,070,000",运动类,21,21,0
1.54583E+15,Hanger,A Small Game AB,"2,050,000",跑酷,22,20,-2
5.58779E+14,Galaxy War,SAS Studio,"1,800,000",动作类,23,24,1
1.72229E+14,Draw Something,Zynga,"1,690,000",竞猜与字谜,24,44,20
1.70007E+14,Bricks Breaker Quest : Mission,Mobirix,"1,650,000",益智类,25,27,2
2.14133E+15,Flying Gun,LIM,"1,640,000",动作类,26,22,-4
2.31371E+14,Fashion Icon,"GBN, Inc.","1,640,000",角色扮演,27,25,-2
1.016E+15,EvoWars,Neexeen Entertainment,"1,560,000",动作类,28,26,-2
5.27721E+14,Juice Master,bianzheng,"1,500,000",动作类,29,39,10
1.40258E+15,Word Shuffle,Words Puzzle Games,"1,420,000",竞猜与字谜,30,29,-1
2.03178E+15,Tank Battle - 3V3,SeaStar Game,"1,400,000",多人在线战术竞技,31,30,-1
1.88392E+15,C? Caro,GOMOKU.CLUB,"1,360,000",棋类,32,31,-1
2.09362E+14,Crazy Cooking Star Chef,TouchRun,"1,340,000",模拟类,33,28,-5
2.09579E+15,Car Tycoon,bianfeng,"1,330,000",模拟类,34,23,-11
5.13181E+14,Music Tiles,Zynga,"1,320,000",跑酷,35,34,-1
1.93093E+15,Playing SOCCER,Super Appli,"1,260,000",运动类,36,33,-3
4.76208E+14,Pool Hall,KITERETSU Inc,"1,240,000",运动类,37,40,3
1.0459E+15,Helix Bounce,Tri.App,"1,230,000",动作类,38,36,-2
1.2557E+15,Candy Match,SOFTGAMES,"1,220,000",益智类,39,35,-4
1.81294E+15,欢乐碰碰 - 开心庄园,diandian,"1,200,000",模拟类,40,32,-8
2.12064E+15,Super Cricket,Super Appli,"1,180,000",运动类,41,37,-4
1.0421E+15,Style Duels,"GBN, Inc.","1,170,000",角色扮演,42,38,-4
2.14826E+15,Piano Tiles 2,Cheetah Mobile,"1,140,000",模拟类,43,43,0
1.39479E+15,Pop Stone 2,cocos,"1,130,000",消消乐,44,42,-2
1.17926E+15,Solitaire,Jam City,"1,120,000",牌类,45,45,0
1.80651E+15,LOL Headshot,Nuts Play,"1,100,000",模拟类,46,46,0
1.82515E+15,Angry Birds,Rovio / CoolGames,"1,090,000",策略,47,47,0
7.55627E+14,Solitaire Story - Tripeaks,SOFTGAMES,"1,050,000",牌类,48,48,0
3.27848E+14,Cricket FRVR,FRVR,"1,030,000",运动类,49,41,-8
1.91981E+15,How Well Do You Know Me?,vonvon,"1,010,000",竞猜与字谜,50,49,-1
1.99698E+15,Block Puzzle,Zonmob,"990,000",益智类,51,50,-1
2.64814E+14,BrutalMania.io,Night Steed S.C.,"930,000",动作类,52,62,10
1.72377E+15,Solitaire,Tripledot Studios,"900,000",牌类,53,55,2
1.80193E+15,Crossing Gaps,PotatoPlay,"880,000",益智类,54,59,5
4.87907E+14,Block Party,Zynga Inc.,"860,000",益智类,55,51,-4
2.2722E+14,Car Racing: Top Free Race,SAS Studio,"860,000",运动类,56,53,-3
2.142E+15,Bubble Shooter Classic,SOFTGAMES,"850,000",益智类,57,60,3
1.57647E+15,Darts FRVR,FRVR,"840,000",运动类,58,57,-1
2.76127E+14,Huge Fish,bianzheng,"830,000",模拟类,59,120,61
1.83083E+15,"2 Photos, 1 Word",Outplay Entertainment Ltd.,"790,000",竞猜与字谜,60,52,-8
1.27618E+15,Balloon FRVR,FRVR,"770,000",动作类,61,58,-3
1.56624E+14,Monster Evolution,Friendivity Games,"750,000",模拟类,62,65,3
1.63912E+15,Word Cross,Wordfun Games,"740,000",竞猜与字谜,63,61,-2
3.00787E+14,Jigsaw Puzzle,MobilityWare,"730,000",益智类,64,67,3
1.9167E+15,Rise & Friends,MZonegame,"720,000",动作类,65,56,-9
3.70866E+14,Guess the Logo,TapLane Inc.,"710,000",竞猜与字谜,66,69,3
8.23249E+14,Draw and Guess!,"Vizor Interactive, LLP","700,000",棋类,67,64,-3
1.04318E+15,Pikachu Onet Connect Animal,ECO Game Publisher,"690,000",益智类,68,66,-2
2.34575E+14,Dominoes: Battle!,Gazeus Games,"690,000",棋类,69,93,24
1.45845E+14,Artnum - Color by Number,TAPCLAP,"680,000",益智类,70,63,-7
4.36338E+14,Surfers,Poppy,"660,000",策略,71,117,46
2.31523E+14,Love Balls,Lion inc,"660,000",益智类,72,81,9
4.58224E+14,BATTLESHIP,CoolGames / Hasbro,"650,000",策略,73,70,-3
1.30803E+15,Pregnant Emergency Simulator,Icecream Game Studio,"640,000",角色扮演,74,54,-20
9.19394E+14,PAC-MAN,BANDAI NAMCO Entertainment Inc.,"640,000",动作类,75,71,-4
2.04659E+14,Pirate Treasures - Gems Puzzle,TAPCLAP,"630,000",益智类,76,83,7
3.29578E+14,Daily Sudoku,CoolGames,"630,000",益智类,77,74,-3
1.51058E+14,Never Have I Ever,vonvon,"620,000",竞猜与字谜,78,73,-5
1.63969E+14,The Bowling Club,Super Appli,"600,000",运动类,79,75,-4
1.84129E+14,BigHero.io,YYG Games,"600,000",动作类,80,76,-4
1.57108E+14,Basketball Bouncy Dunk,GamePix,"600,000",运动类,81,72,-9
3.24885E+14,Bump.io,R2Games,"580,000",多人在线战术竞技,82,113,31
1.78755E+15,Shot Club - Machine gun,FunGamer,"570,000",动作类,83,121,38
1.7965E+14,Spider Solitaire,Lotum one GmbH,"570,000",牌类,84,78,-6
2.99223E+14,One Line One Stroke Mind Game,X-FLOW LTD,"570,000",益智类,85,80,-5
2.26951E+14,Hex FRVR,FRVR,"560,000",益智类,86,86,0
5.46662E+14,Panda Fighting,cocos,"560,000",卡牌对战,87,79,-8
3.1135E+14,Running Mario 2,Alfa,"550,000",跑酷,88,115,27
1.65828E+14,数字填色：画画游戏 (Color by Number),Fun Games For Free,"520,000",棋类,89,89,0
2.03612E+15,Galaxy Shooter,SAS Studio,"520,000",动作类,90,82,-8
1.90614E+15,Slot Mate - Free Slot Casino,SundayToz,"510,000",老虎机,92,91,-1
1.70315E+15,Checkers,"Vizor Interactive, LLP","510,000",棋类,93,84,-9
3.90825E+14,Fishing Star,WFS,"510,000",运动类,91,88,-3
9.2181E+14,Doctor Teeth,TrendyG,"510,000",模拟类,94,77,-17
2.15411E+15,Racing Moto Fast Speed,SAS Studio,"500,000",运动类,95,85,-10
2.21231E+14,Car Parking,XP Studio,"490,000",模拟类,96,97,1
6.79086E+14,Fish Story - Match 3 Puzzle,SOFTGAMES,"470,000",益智类,97,106,9
1.85394E+15,Total Soccer,Mechanist Games,"470,000",运动类,98,90,-8
1.58482E+15,4 in a row,Lotum one GmbH,"460,000",竞猜与字谜,99,99,0
1.48479E+14,Block Puzzle Jewels Instant,Block Puzzle Jewel,"460,000",益智类,100,98,-2
2.0386E+15,Idle Balls,TimPlay,"450,000",益智类,101,94,-7
1.69479E+14,Super Baseball,Super Appli,"450,000",运动类,102,96,-6
1.61559E+14,Mini Town-口袋小鎮,Pocket GAMES,"430,000",模拟类,103,101,-2
1.41673E+14,Mahjong FRVR,FRVR,"420,000",棋类,104,116,12
1.62514E+15,Hello Fish,Sweet,"420,000",模拟类,105,139,34
2.02043E+14,Temple Go - Run & Friends,FunGamer,"410,000",跑酷,108,92,-16
1.18474E+14,Snake VS Block: Shooter,SAS Studio,"410,000",动作类,109,87,-22
2.24063E+15,Crafting and Building 3D,World Craft Games,"410,000",建筑类,110,114,4
2.7703E+14,Spot the Difference,Softgames,"410,000",益智类,111,95,-16
1.21934E+15,Jelly Crush,Cocos,"410,000",宾果,106,102,-4
4.12582E+14,Puzzly,Block Puzzle Games Free,"410,000",益智类,107,68,-39
1.63465E+14,Archer Battlefield,YYG Games,"410,000",角色扮演,112,110,-2
2.07373E+15,Snake vs. Blocks,Voodoo,"400,000",动作类,115,112,-3
2.0338E+14,Guess the Food,Taplane Inc.,"400,000",竞猜与字谜,116,109,-7
2.21139E+15,Word Blitz,Lotum one GmbH,"400,000",竞猜与字谜,113,125,12
5.3548E+14,Guess the Icon,TapLane Inc.,"400,000",竞猜与字谜,114,107,-7
1.91956E+15,Racer Fast Furious,RacerGames,"380,000",动作类,117,145,28
1.64568E+14,Doctor Teeth,Crocgames,"380,000",益智类,118,288,170
2.17361E+15,Tic Tac Toe,VM Mobile Team,"380,000",棋类,119,128,9
1.74168E+14,Sky Road Free: Rolling Ball Game,Fun Games for Free,"380,000",动作类,120,119,-1
2.60321E+14,Traffic Driver,Mauro games,"370,000",模拟类,123,118,-5
1.08828E+15,Subway Bus Runner,Addicting Games,"370,000",跑酷,122,132,10
2.79605E+14,Hair Do Design,GamePix,"370,000",模拟类,124,140,16
1.76638E+14,Table Tennis World Tour,Happylander,"370,000",运动类,121,100,-21
3.33447E+14,LINE: Disney Tsum Tsum,LINE,"360,000",益智类,125,105,-20
2.26466E+14,Candy Rain,SOFTGAMES,"360,000",益智类,126,122,-4
1.46103E+14,Hill Racer,Ruocco,"360,000",动作类,127,129,2
1.25279E+14,Cut the Rope 2,GamePix,"360,000",益智类,128,157,29
1.96752E+15,Raven's Nightmare,Hyh Game,"350,000",动作类,131,205,74
1.01912E+15,UNICORN - Color by Number,WePlay,"350,000",益智类,129,123,-6
2.03623E+14,Word Connect Lite,Zenjoy,"350,000",竞猜与字谜,130,108,-22
5.05167E+14,Snake,Nokia,"350,000",动作类,132,136,4
1.43677E+15,Racing MotoX,SAS Studio,"340,000",运动类,135,131,-4
1.89138E+15,The Darts,BIGBANG Inc.,"340,000",运动类,136,133,-3
2.20879E+14,Bubble Shooter HD,SOFTGAMES,"340,000",益智类,137,124,-13
1.94046E+14,Solitaire,MobilityWare,"340,000",牌类,139,146,7
2.76909E+14,Bike Race Free: Top Racing Games,Top Free Games,"340,000",运动类,133,134,1
3.0798E+14,Nail Doctor,GamePix,"340,000",模拟类,138,103,-35
2.89969E+14,Bounce Ball,Xgames,"340,000",动作类,134,104,-30
3.60705E+14,Tomb Temple Run,JJ Inc,"330,000",跑酷,140,169,29
5.78926E+14,Surgery Simulator,Fun Games Inc.,"330,000",模拟类,141,155,14
1.88739E+15,Bingo,Mavenhut Ltd,"330,000",宾果,142,138,-4
3.2962E+14,Toastelia,Crocgames,"330,000",角色扮演,143,189,46
4.62109E+14,Word Trip,PlaySimple Games,"320,000",竞猜与字谜,146,127,-19
