id,game_name,developer_name,player_count,app_center_categories,icon_uri,is_favorite,rank
198982457542294	,Jumpy Jumpy - Helix Ball,TimPlay,"11,790,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/41151800_321123078661564_7251996711009124352_n.png?_nc_cat=1&oh=15083b8f778238bd56a548ba33a6aad8&oe=5C627ABD,false,1
141184676316522	,EverWing,Game Closure,"8,130,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/14365540_180484242386565_647877825_n.png?_nc_cat=1&oh=80749871f9bc6d383b4544f770e5a0e7&oe=5C370016,false,2
1072612402873309	,Ludo Club,Moonfrog Labs,"8,040,000",棋类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/27690083_1146302585504290_2542560836107370496_n.png?_nc_cat=1&oh=9b2218310639f69d1dde7860078e0099&oe=5C2C70E4,false,3
1250735238360354	,Last Knife,Room502,"7,980,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40959934_1450194338414442_2557649008973578240_n.png?_nc_cat=1&oh=a68c4ad71533998215ff35ce8b95857e&oe=5C3456C7,false,4
666272906903117	,The Test,Lotum one GmbH,"7,150,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/27699390_769555169908223_7127618297817726976_n.png?_nc_cat=1&oh=9a4312b14e1457ecaf33150626f73495&oe=5C2E962A,false,5
2123873081225075	,Big Fish,bianfeng,"6,620,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/37339553_2126184270993956_3072229259750670336_n.png?_nc_cat=1&oh=19ed2e72941b105d73f1b209978dd155&oe=5C30A95E,false,6
383041995381848	,Words With Friends,Zynga,"5,860,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/17636731_434178160268231_2603838547563642880_n.png?_nc_cat=1&oh=69b9598b60b5829cbf086b0cc3c9c383&oe=5C301682,false,7
1829935823906294	,8 Ball Pool,Miniclip,"5,760,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/26036673_2078977032335504_4726933176528666624_n.png?_nc_cat=1&oh=e34fb86e87afa24271fde9f5d623e760&oe=5C20FDF7,false,8
800772590062226	,Basketball FRVR,FRVR,"5,530,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/16686577_837353586404126_7156996934979289088_n.png?_nc_cat=1&oh=8786899aae97b35fde0a8f2cca77c943&oe=5C2C6E83,false,10
498625833822107	,4 Pics 1 Word,LOTUM GmbH,"5,530,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/20014431_498666463818044_4033975056978673664_n.png?_nc_cat=1&oh=27a1831301c456a4bf3af11951c080c3&oe=5C1A8A88,false,9
267920816949420	,Golden Boot,Nordeus,"5,340,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/32909807_383956202012547_5360836938867671040_n.png?_nc_cat=1&oh=22670d100ff6ac2a7bbd040b9e85e2f4&oe=5C1B4356,false,11
1939015149698140	,UNO,Mattel163,"4,190,000",牌类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/41522933_2151945951738391_2706828899794288640_n.png?_nc_cat=1&oh=bad5a86b9807e1842100d2fccf8a5886&oe=5C33D7AC,false,12
1766150917023645	,Snake Mania,SZ IYouLong,"3,620,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/28126759_1817427995229270_786736033218691072_n.png?_nc_cat=1&oh=53863c380b7bcb55a9bf3e5ee1adbd1b&oe=5C186147,false,13
1192247540901063	,Chess,"Vizor Interactive, LLP","3,540,000",棋类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/27808755_1416495101809638_1202148126241062912_n.png?_nc_cat=1&oh=ea3e6fd4fcbf42e0a13c6df142bcc60c&oe=5C165931,false,14
2141327352781157	,Flying Gun,LIM,"3,440,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/36826096_2151769211736971_5130978080256425984_n.png?_nc_cat=1&oh=054a98696e1a5336e42efcfca2ce8e90&oe=5C2F594F,false,15
2031775343755563	,Tank Battle - 3V3,SeaStar Game,"2,800,000",多人在线战术竞技,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40302952_2147451575521272_5238421196881526784_n.png?_nc_cat=1&oh=8f674966a88e7db33109ce6076e4e9d9&oe=5C1E887C,false,16
843754115785933	,Quiz Planet,Lotum one GmbH,"2,780,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/29795786_883193275175350_3590080192548175872_n.png?_nc_cat=1&oh=d6f58de83ef343c4fbd4db530806b946&oe=5C18A868,false,17
1983392221930776	,"Let's Farm-Idle Tycoon",diandian,"2,680,000",模拟类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/28779107_2063355943934403_4024766221894287360_n.png?_nc_cat=1&oh=3007d446d5c67bf637e3d0b0d56349e4&oe=5C3339B5,false,18
1408256562572854	,Super Bowling,Super Appli,"2,200,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/38287918_1999340316797806_7911826613933703168_n.png?_nc_cat=1&oh=a50ed6ffd74ba52714482871da4ef9d5&oe=5C2B3B4E,false,19
1920856321568946	,Cookie Crush,SOFTGAMES,"1,990,000",消消乐,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/36912777_2081535825500994_7931564106077700096_n.png?_nc_cat=1&oh=1ba54047ffd2f3a4aa0d1c21c66a77d5&oe=5C2A5622,false,20
513181335701168	,Music Tiles,Zynga,"1,970,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/22880468_524604387892196_3237936725892268032_n.png?_nc_cat=1&oh=cfe69d634c5ed29b39cda9759905bbe7&oe=5C2ED041,false,21
1545834658847763	,Hanger,A Small Game AB,"1,960,000",跑酷,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/34196020_1618307941600434_6596668543696109568_n.png?_nc_cat=1&oh=8ef34530831bfc5799b974d1e9832248&oe=5C252539,false,22
177462289503573	,Connect the Dots!,Lotum one GmbH,"1,880,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/23668635_178355676080901_2616534964811857920_n.png?_nc_cat=1&oh=94014570515dc462e53a07f07c9bf66b&oe=5C1AA742,false,23
1045899222230952	,Helix Bounce,Tri.App,"1,850,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/36324059_1081804881973719_1951173929989046272_n.png?_nc_cat=1&oh=18b49d637fcf6a28d641cd352ba40592&oe=5C35FDE7,false,24
1930929806938747	,Playing SOCCER,Super Appli,"1,830,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/37358704_1953722054659522_1927530706255216640_n.png?_nc_cat=1&oh=417299fcd997fd9117468e1e3df76cc0&oe=5C154A45,false,25
558779254509132	,Galaxy War,SAS Studio,"1,680,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/40386083_666588743728182_616171590425509888_n.png?_nc_cat=1&oh=8453ab3f7bbf702dc21a5642a0d0a74a&oe=5C1CFF77,false,26
1919809204997181	,How Well Do You Know Me?,vonvon,"1,550,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/37976216_1981428378835263_2307987044002955264_n.png?_nc_cat=1&oh=0310bf633ed43136006247f0782c6951&oe=5C15FF00,false,27
1015995975216459	,EvoWars,Neexeen Entertainment,"1,500,000",动作类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/29623440_1027527584063298_771704141603930112_n.png?_nc_cat=1&oh=6cefb82615427263383c7b15afa59940&oe=5C165AB8,false,29
1394792680649041	,Pop Stone 2,cocos,"1,500,000",消消乐,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/39813852_1692842994177340_6972938898942984192_n.png?_nc_cat=1&oh=23b8a31f5ef529195b4f34aea5d46a9b&oe=5C297F63,false,28
1402577869863533	,Word Shuffle,Words Puzzle Games,"1,410,000",竞猜与字谜,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/27962775_1515390971915555_1669352976482828288_n.png?_nc_cat=1&oh=018d743b579a2bb366f38555ae005b94&oe=5C33E0E0,false,30
2120643968166571	,Super Cricket,Super Appli,"1,390,000",运动类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/30793169_2148531672044467_197641720513429504_n.png?_nc_cat=1&oh=6d1b50cd89c820c790d0110acc2d15eb&oe=5C14C8B6,false,31
170006637139660	,Bricks Breaker Quest : Mission,Mobirix,"1,380,000",益智类,https://scontent-hkg3-1.xx.fbcdn.net/v/t39.2081-6/c0.0.129.129/p128x128/28776031_171986423608348_8889680003105554432_n.png?_nc_cat=1&oh=f761b6614a49ea3902569af4f91bf055&oe=5C170408,false,32
